"f7","f7 2","b","flex","flex 2","b 2","mv1","b 3","mv1 2","w_iUH7","b 4","tl-m","ml1","w_kV33"
"Nov 11, 2025","Ashlee","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Tall like I expected. I have 2 orange boys. You'll see below in the pics they are literally posing on it lol. Great price, great product, %26 as long as the kitties love it I love it. 10/10 would purchase again, purchase for your fur baby, 10/10 would recommend!!","(0)","5'4 cat tree"
"Sep 3, 2025","sarah","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I have never had a cat tree I am a cat and dog lover but I have had animals most of my life but this time I had to have a way to keep the cat food away from the dog she insisted on eating it so I had to buy this cat tree to keep the cat food up away from the dog and it works perfectly the cats love it","(0)",""
"Aug 23, 2025","Yourmom","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","This cat tree is sturdy but tiny once assembled. Our little senior cat has trouble navigating it past the 2nd tier and doesn't even fit well in the cat houses. She's only 8 lbs. I'm keeping it because I don't think I can easily return it after assembly.","(0)","Disappointed"
"Oct 28, 2025","Elizabeth","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","The flash sale price was amazing, the size after putting together was not what I was expecting. The platforms are very small and they have a lot of movement when my cat is on top of them. I shouldn't complain since it was on sale. I'm thankful I didn't pay full price.","(0)",""
"Jul 15, 2025","mary","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","So I was super impressed when I received this because everywhere else I saw comparable cat trees and they were over $100. I was really surprised that the durability it functions perfectly and it's just a really great price for a cat tree. We're gonna buy another one because at this price we can't afford to.","(0)",""
"Oct 14, 2025","Carol","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Everything is great with it's construction. My kitten loves to set on the very top. But it is a navy blue not dark gray as it stated. And doesn't match my living room at all. Not really worth dealing to exchange it. The dark gray was suppose to be the only color at the sale price. Or I would have ordered light gray.","(0)",""
"Jul 25, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","From the picture, I thought the cat tree was going to be a little bit bigger, but the tree was easy to put together and the cat I have loves going all the way to the top and lay. Be warned, my cat is young and a chewer, so it didn't take him but two days to chew off the dangling toys. The carpet is nice and soft, but I will say due to the height and not much weight at the bottom, it gets a little shaky when my cat goes up the tree because he is a long cat, but overall for the price I paid when it was on sale, it was well worth it.","(0)","Good tree if you get it on sale"
"Aug 3, 2025","Jacey","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","Looked nice but wasn't very sturdy. My cat hated it. The only way I could get her to get on it was to put treats on it. She climbed it, ate the treats and then  ignored it unless we put more treats back on it.
We ended up giving it to our son and his girlfriend l. Their cats love it.","(0)","My cat hated it."
"Oct 3, 2025","Shay","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","This is so much smaller than they show in the pictures. It appears to be for a small kitten and not a full grown cat. It is not sturdy it wobbles so much when my cat climbs on it and everything's tightened down. I really do not recommend this and wish I had a way to return it.","(0)","Save your money and time"
"Sep 22, 2025","Sheila","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","We bought this one with the smaller footprint in mind. We took in a sickly kitten we found and needed something for him to use while he was too small and sick to be with the older cats. We assembled it easily and then removed the top half of the tree when he was using it to escape his play yard, again quite easily. Now that he is better and growing we will put it up entirely and when our granddaughter is here we will break it back down for ease of transportation to her apartment.","(0)",""
"Oct 11, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","It's a little wobbly and definitely for small cats or kittens. I have male cats and a male kitten and only the kitten can fit properly. My older cats can only use the platforms at the top. Also pay attention to the instructions carefully. Step 1 and 2 were a bot confusing but easily fixable. But overall I would recommend this and it's affordable. I paid the sale price 40$","(0)",""
"Sep 22, 2025","Mary","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","The covered boxes were a little hard to get together. The corner posts were very tight so it was a bit difficult but just took some time and patience. Once done the rest was pretty easy. The 3 top posts are a little wobbly when the cats jump up on them but not enough that I think they would break. Overall I'm very satisfied with the tree %26 love the color and look of it….and the cats love it!!","(0)","Cat tree"
"Jul 7, 2025","Dot","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Was nicer looking than shown in the photos. For such a low price, I expected to be a little disappointed, but that was not the case. Thinking of getting a second one but a little taller for the main living area since this was put in a bedroom. Have an 8-week-old kitten and within 2 days he was up and down the thing like a pro.","(0)",""
"Jul 2, 2025","Katie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","This cat tower is a great value. It only took about 30 minutes to put together. My husband  really liked how everything was packed and labeled it made it easier to assemble.  The directions are very easy to understand a child could have put it together. The quality and sturdiest are excellent. If you are looking for a cat tower I would highly recommend purchasing this one and for the price you can't go wrong","(0)",""
"Oct 26, 2025","Wendy","Item details","Color: Beige","Assembled product height: 70""","Sold and shipped by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","This cat tower would be OK for smaller cats, but my cats were a little too big for it and had trouble getting from one shelf to another because there's not enough room for them to get the right angle to be able to jump the one platform we ended up removing the support and just screwing the platform straight to the base so that they could have room to jump up to the next level. I am returning this cause it's just too small for my cats.","(0)","Too small for my cats"
"Oct 31, 2025","Jan1358","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","This is definitely good value for the money, these books to record what you've eaten are wonderful with one small exception: there's not a lot of room to write in them about what the food was, so you can't include a name brand or whatever so you can look up calories later. Otherwise I think they are pretty much perfect.","(0)","Well constructed, great value for the $"
"Sep 23, 2025","Bud","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","Great cat pole. Took a day or so before the old man got interested. I did feel that their pole is designed for smaller cats or kittens.  My cat is pushing  15 years, and he has a little extra oomph. He  does manage to use it. But it looks like he'd be happier with it being a little bit bigger","(0)",""
"May 9, 2025","geraldine","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","I have not put the product together, but I will tell you FedEx was in the middle of my yard. I have a ramp he left it at the very bottom of the ramp which took me 20 minutes to get inside because I had surgery on my foot. I want this driver reported he wouldn't even stop when I'm trying to flag him down.","(0)","FedEx is horrible"
"Sep 10, 2025","Georgia","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","My kitten got his paw wrapped around the ball that dangles so I cut it off. If I hadn't been home %26 heard his distress he could've hit himself. Second landing could be larger. My kitten doesn't use the stairs, he just jumps up %26 down. Some cats will realize they don't have to jump but others won't","(0)","Buyer Beware"
"Aug 25, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Easy to assemble, good intructions. Looks like the photo and very nice. Soft carpet material that the cats love so far. Only reason I give a 4/5 on sturdiness is because while it is very secure  once assembled, we have 2 cats that play rather rough on it and I have retightened the 3 upper sitting areas with the included alan key. If your cats aren't bigger or play rough than this m","(0)","my cats love it"
"Sep 21, 2025","Deanna","Item details","Color: Beige","Assembled product height: 54""","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","This cat tree is so cheaply made. Absolutely horrible, I would tell anyone not to waste their money. Doesn't stay tightened, the top tier, fell off throwing my Kitty to the floor. Cheap fabric, framing made with plastic straw-type junk. I know it is not even worth the money to fix. Oh, not weighted, so when the 5' yree falls over, the kitty flies again. PLEASE DON'T WASTE YOUR MONEY. PLEASE KEEP YOUR KITTY'S SAFE. DON'T BUY THIS ITEM.","(0)",""
"Sep 4, 2025","Sheryl","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I love it I saved about 55$, it was on sale I only paid $43 delivery my cat loves it too! I didn't assemble it my neighbor did but it is great my cat sets up high on the top it's sitting by the window so she has different heights to look out the window. I love it for the price! Oh I think it could have used another place for a scratch post it only has like two small ones","(0)",""
"Mar 6, 2025","NAOMI","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","After reading all of the bad reviews. I thought oh my God this is going to be a nightmare trying to put it together hoping and praying all the pieces were there but then after several attempts tries I finally got it together all pieces were there.My boys are super happy they love their new scratch post and I like it as well.The quality isn't bad at all. You get all the screws and instructions how to put it together. I actually thought it was going to be harder than it was after I pulled out my power screw driver it was easy. I even took photos to show how much my cats are enjoying themselves on it and they're not kittens. my boys are 2 years and 6 months old. They're actually very happy too have something they can scratch up then my carpet.","(1)","Very happy customer"
"Sep 5, 2025","dawn","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","The assembly was a little confusing. My boyfriend put it together, it would have been harder for me to do myself. Took around an hour i think. didn't time it tho. Sturdy enough for the cat. Not sure how it will hold up against our doberman. For the moment, we are pleased with it. The cat also seems pleased. Hopefully the cat will stop climbing the curtains now!","(0)",""
"Oct 31, 2025","Mark","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Overall, I love the product. My one suggestion to potential cutomers, get the larger model. I have two kittens, they love it, but will soon outgrow it,","(0)",""
"Oct 12, 2025","theressa","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","So the piece no.40 has a screw internally they is stripped and due to the fact it's  on  the Inside I can't just  tear it apart so I'd like a replacement  so I can put the last little basking  shelf up top!","(0)","Bad part kitty condo!"
"Jul 5, 2025","Sean","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Gotta love Walmart ya know? It's convenient, it's family friendly, it's cost efficient. It's up to date with fashion style, health. It's perfection for the everyday consumer.","(0)","The American way"
"Jun 12, 2025","Danneil","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","Very small if you ask me but if you ask my three fat cats they don't care and absolutely love it even with their bodies hanging off 🤭 it would be perfect for kittens!!!","(0)","Kitten tower"
"Jul 1, 2025","Caroline","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","Too cramped for my cats to be able to move easily from one level to the next. I took it apart and used the elements separately. Can't say that I would recommend it.","(0)",""
"Jul 1, 2025","Liz","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","GET THE BIGGER ONE!! 😆 Quality is ok, smaller than I thought it would be. My 6 pound cat fits, but my 9 pounds barely and my 11 pounds not at all lol.","(0)","Get the bigger size unless you have mini cats lol"
"Aug 27, 2025","Sharon","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","I  only ordered 1 cat tree but received 2.. I don't have a car or anyone that can print off the label.  The cat tree is actually perfect and my cat hasn't tried to play on it but I'm sure she will try it soon.","(0)","why!??"
"Oct 1, 2025","Walmart customer","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","My cat absolutely loves this tower! If I had any complaints, it would be that the highest tower is a little unsteady for a chunky adult cat, but it has never fallen over.","(0)","A little unsteady on top tier"
"May 29, 2025","Kim","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","the platforms weren't wide enough for my cat to fit on them to jump to higher levels. Only a kitten could fit on them. I sold it to someone else with kittens.","(0)",""
"Aug 9, 2025","Blanca","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","My sweet lil fur baby lovessss 🥰  his cat tree  doesn't take a lot of space but still tall enough for him %26 we love ❤️ the extra 😴 sleeping space  %26 the price was awesome too .. We thank you 😊","(0)",""
"Aug 31, 2025","Cj","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Easy to assemble, my cat loves it. Only problem is if you have a chonker, you might want something to weight it down. My 5 lbs actove boy does make it shake","(0)",""
"Aug 12, 2025","Sherri","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","I have bought best foods mayonnaise my entire life. When I found Hellmann's was best foods then that was my mayonnaise of choice. I will continue to buy this product.","(0)","Mayo"
"Oct 16, 2025","Joe","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","I bought one for my sons new kitten who loves it. I bought one for my 2 senior cats and it appears too small for them and they want nothing to do with it.","(0)","Nice but small"
"Oct 2, 2025","JR10424","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","5 stars for quality BUT too small for large cats ! One cat played on it but he'd move the   tree around because he is an aggressive climber. I returned it for something larger.","(0)","Nice quality BUT too small"
"Sep 28, 2025","whitney","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","assembly wasn't great. we had to poke holes in the fabric where the screws go but the product it's self is very sturdy and  looks great in the living room","(0)",""
"Oct 6, 2025","David","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","4 out of 5 stars review","Verified Purchase","well built material wise, soft fabric, easy to assemble.
Only thing is I'm not using one of the perches because the way it's designed the cat can't jump to next level without being very, very difficult.","(0)",""
"Nov 8, 2025","rebecca","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I love it!! Super easy to assemble and simple instructions! It came really fast and my cats are playing with it immediately! I wish I had more space to buy another!","(0)",""
"Sep 19, 2025","josh","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","this tree is awesome all four of my cats play on it and some lounge on it I do have to agree with some of the other reviews though when they say the holes didn't line up but if you if you work with it you can get it all to go together","(0)",""
"Sep 14, 2025","erika","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","This cat tree was supposed to be for my current cat 15 lbs and our new cat 7 lbs. However it is not large enough for a long big adult cat. the small cat plays in it no problem but any cat over 7lbs would know this thing over because it is wobbly.","(0)","Made for small cat only!"
"Aug 16, 2025","Dawn","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","the whole top sitting post came right off after assembly...The bolt itself came right out of the wood piece n its made in such q way i couldn't assemble the top piece again...total bummer😣","(0)",""
"Oct 7, 2025","Diamond","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","It's a beautiful tree. I have one before and it wasn't very sturdy for an active cat. My cat is about 17 pounds and very active. He lots to climb all over the tree, jumping off and on during witching hour. Would definitely recommend this tree!","(0)",""
"Jul 5, 2025","Kimberly","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","I probably didn't read it correctly but this is very small. Maybe good for kittens but I have 2 20lb cats. Good thing we have a couple of kittens too. And as we speak he jumped up on it and the one perch fell off.","(0)","Small"
"Jul 29, 2025","Walmart customer","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","3 out of 5 stars review","Verified Purchase","instructions vague. missing a screw that held up the building of tower. i thought it would be easy.  NO IT IS NOT.
Buy one assembled to avoid headaches.","(0)","need video to follow instructions"
"Aug 5, 2025","Richard","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I bought this for my granddaughter and her cat she loved it. This is the second one I have gotten and this one was a very good price or as big as it is.","(0)",""
"Oct 14, 2025","Sam","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Highly recommend this cat tower. High quality, looks as pictured, my cat weighs 15 pounds and he fits on the tower comfortably and safely. Great value for the price.","(0)","Highly recommend"
"Jun 25, 2025","Tara","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","Picture makes it look as though it's bigger than it really is. Not ideal for average adult size cat. No room for play and one of the boards had a crack in it","(0)",""
"Jul 7, 2025","Tracy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Assembled fairly easily. 
Heavy duty bolts %26 Allen wrench included.  
Study design. Once it's assembled it's a little heavy, so I would assemble it close to where you want it. My kitten loves it❣️","(0)",""
"Nov 5, 2025","Leettha","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Bought on sale and wasn't sure how sturdy or nice it would be. Exceeded all expectations! My new kitten is a big fan. My kids have also stumbled on it and pushed it around and it is holding up well. Definitely recommend it","(0)",""
"Oct 30, 2025","Mckenzie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","4 out of 5 stars review","Verified Purchase","It looks good, was easy to put together. Even after tightened up, it's still kinda wobbly. But, the cat uses it and seems to like it, so it does it's job.","(0)","It is what it is"
"Oct 25, 2025","JW","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","Very easy and quick to assemble. The instructions were basic and easy to read. I would recommend placing it against a wall for support if you a larger (more 15 lbs) pet. Not too bulky and easy to move.","(0)","Simple yet fun!"
"Oct 23, 2025","Kathy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","It was easy enough that I put it together and I'm a 70 year old woman.Its so much sturdier then my old pole had to brace on another object so it would not fall over.","(0)",""
"Oct 30, 2025","Jayme","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","One of the rods that holds up a box in the tree was defective.  You could not put a screw in it.  I waisted an hour trying to assemble this.  The fabric was also cheap and was making a mess on the floor just trying to assemble it.","(0)","Item was defective.  Could not be assembled."
"Apr 19, 2025","Diamond","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Now that my cat has had more time... she absolutely loves it! My husband sprinkled a bit of cat nip from Shady Cat in each box and finally she took to her tree! She's not bored anymore and plays with the little balls attached. Thank you for bringing her back to life!","(0)","Interactive taller places attracts cats"
"Feb 26, 2025","Lucy","Item details","Size: 54""","Color: Dark Gray","Sold and shipped by","Factory Direct Wholesales, LLC","","","2 out of 5 stars review","Verified Purchase","If you have a full grown adult sized cat dont buy this product. I got it last night and spent over an hour on assembly, it comes in 40 pieces. I got it all set up, sprinkled some catnip, put some treats on it and very quickly realized that he could not use it. After a few minutes he walked a few feet from it plopped on the floor and rested his chin on the ground. Visible disappointment. We were both heart broken. Tonight im going to try to take it apart. I don't know if i can return it. its heavy. Admittedly my cat is a drama queen, Im afraid he might take after his owner. ha ha","(0)",""
"Jun 26, 2025","Patricia","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I'm very happy with this cat tower and highly recommend it.  I wanted it just tall enough so my cat could look out the front window even when the bottom shutters are closed.  Perfect!  
My 1: yr old grandson put it together in under an hour.  It's secure and sturdy but also very soft on all the landings. 
It took a couple of days before our cat would try it. You know cats.  If it's not a box, they're cautious.  But now that she has, she loves sitting up top surveying her “kingdom.”","(0)","SHE LIKES IT!"
"Jul 17, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I gave this 5 stars so it'll be at the top but it's really a 2 star. For starters this is not big cat friendly it's more suitable for kittens or just smaller cats in general. It is a long cat tree as it goes to my shoulders and i'm 5'3. It's just not as spacious for my american short hair cat as he is long and a little chunky and likes to stretch out. The first house on the bottom he couldn't even fit in it was way too small but the longer house on the top he could fit in and even turn around. For the building part it took me about an hr or two and the instructions was easy to read the hole was j off centered sometimes you should definitely get this if u have small cats and it's on sale. If it's not on sale i wouldn't spend almost a $100 on this especially if u have a big cat. I also put my cat in one of the photos for reference on how long he is","(0)",""
